Date,Ticker,Close,Volume,returns,volatility,sma20,sma50
2024-03-13,RELIANCE.NS,1421.6527099609375,13522134,-0.029313676306674474,0.011925426013091893,1466.4412170410155,1407.0954541015626
2024-03-14,RELIANCE.NS,1420.9578857421875,18571102,-0.0004887439906255953,0.011579126061944356,1463.96455078125,1409.8024194335937
2024-03-15,RELIANCE.NS,1407.80517578125,19223818,-0.009256227853697174,0.011638158556016496,1461.3650451660155,1412.0334057617188
2024-03-18,RELIANCE.NS,1428.8990478515625,9169392,0.014983516493044968,0.012148049453125814,1460.3177978515625,1414.96818359375
2024-03-19,RELIANCE.NS,1414.778564453125,8275764,-0.009882072088765459,0.012082714580511864,1457.8982055664062,1417.4880346679688
2024-03-20,RELIANCE.NS,1433.142578125,8488806,0.012980132816030832,0.01251382948393064,1456.5444641113281,1420.2654760742187
2024-03-21,RELIANCE.NS,1440.3145751953125,13006936,0.005004384894973679,0.012576341913105204,1455.71435546875,1423.3883618164064
2024-03-22,RELIANCE.NS,1444.3348388671875,19527608,0.0027912400118077496,0.012380441764255717,1454.3879272460938,1426.6596484375
2024-03-26,RELIANCE.NS,1430.983642578125,11415906,-0.009243837322053361,0.012332430012274295,1451.8045471191406,1428.9730249023437
2024-03-27,RELIANCE.NS,1481.8819580078125,16326644,0.03556876117604446,0.014855639025110712,1452.0787719726563,1431.6124877929688
2024-03-28,RELIANCE.NS,1474.933349609375,21854364,-0.00468904311904772,0.014894825313145925,1452.0886962890625,1433.8980712890625
2024-04-01,RELIANCE.NS,1473.8663330078125,5013880,-0.0007234337753940778,0.014112321504772325,1453.5354919433594,1435.6977514648438
2024-04-02,RELIANCE.NS,1476.025146484375,8910166,0.0014647281291491066,0.014100808191304244,1454.8333740234375,1437.927744140625
2024-04-03,RELIANCE.NS,1460.7880859375,7008292,-0.010323035879955644,0.013448668631082752,1453.8146667480469,1440.112080078125
2024-04-04,RELIANCE.NS,1452.1768798828125,14490272,-0.005894904358534014,0.01324631162874178,1451.6072570800782,1441.997626953125
2024-04-05,RELIANCE.NS,1449.3724365234375,7442298,-0.0019311995654422986,0.013223549667204158,1449.6169860839843,1443.83701171875
2024-04-08,RELIANCE.NS,1475.057373046875,8357118,0.01772141919922743,0.013880475168220763,1448.7719848632812,1446.9618823242188
2024-04-09,RELIANCE.NS,1452.896484375,7071414,-0.015023746924568426,0.013823558687325191,1448.0138427734375,1449.3397827148438
2024-04-10,RELIANCE.NS,1468.7044677734375,9138330,0.010880323249758295,0.013912629903862748,1448.6578308105468,1451.8511962890625
2024-04-12,RELIANCE.NS,1456.3707275390625,15551012,-0.008397700493873339,0.01398669755686333,1448.2471130371093,1452.2303881835937
2024-04-15,RELIANCE.NS,1454.062744140625,12902062,-0.00158474992307589,0.012209064908706282,1449.8676147460938,1453.3659814453124
2024-04-16,RELIANCE.NS,1454.9810791015625,9366184,0.0006315648789145811,0.012203488524419616,1451.5687744140625,1454.1427319335937
2024-04-18,RELIANCE.NS,1453.56640625,19005692,-0.0009722963905730575,0.011966270701978712,1453.8568359375,1454.890693359375
2024-04-19,RELIANCE.NS,1459.323974609375,15741778,0.003960994375364457,0.011567925611266527,1455.3780822753906,1455.1373706054687
2024-04-22,RELIANCE.NS,1468.9774169921875,10350362,0.006615009792733995,0.01132804175940917,1458.0880249023437,1455.94787109375
2024-04-23,RELIANCE.NS,1448.603271484375,14605554,-0.013869611113239366,0.011540028355555548,1458.8610595703126,1456.573740234375
2024-04-24,RELIANCE.NS,1439.5205078125,10462776,-0.006270014606944763,0.011588784648500184,1458.821356201172,1456.7330615234375
2024-04-25,RELIANCE.NS,1449.2484130859375,15943926,0.006757739970109977,0.011672067937226834,1459.0670349121094,1456.92861328125
2024-04-26,RELIANCE.NS,1441.878173828125,9413848,-0.0050855596537233705,0.011530534384664903,1459.6117614746095,1456.7658227539061
2024-04-29,RELIANCE.NS,1454.2613525390625,7247974,0.008588228142784482,0.008341944224622873,1458.230731201172,1457.0174609375
2024-04-30,RELIANCE.NS,1456.2218017578125,11474262,0.0013480721435161769,0.008307051507249117,1457.2951538085938,1457.0551806640624
2024-05-02,RELIANCE.NS,1455.7752685546875,14512646,-0.00030663818010823185,0.008307262637578893,1456.3906005859376,1456.7608618164063
2024-05-03,RELIANCE.NS,1423.46435546875,17226958,-0.02219498694878652,0.009586237624264629,1453.7625610351563,1456.0342431640624
2024-05-06,RELIANCE.NS,1409.095703125,7394208,-0.010094142707927745,0.009575616714997433,1451.1779418945312,1455.21927734375
2024-05-07,RELIANCE.NS,1391.17822265625,14517472,-0.012715588039204029,0.00984835206208913,1448.1280090332032,1453.77943359375
2024-05-08,RELIANCE.NS,1408.1279296875,9439002,0.012183706411740047,0.010353652685667958,1446.0657836914063,1452.7376440429687
2024-05-09,RELIANCE.NS,1383.88232421875,11009612,-0.017218325805192114,0.009896615235904236,1441.50703125,1451.2769555664063
2024-05-10,RELIANCE.NS,1397.0845947265625,10505096,0.009540023943340525,0.00986815240618161,1438.7164367675782,1449.8013793945313
2024-05-13,RELIANCE.NS,1392.394287109375,8456620,-0.0033572108910882026,0.009399298021788433,1434.900927734375,1447.996240234375
2024-05-14,RELIANCE.NS,1409.6414794921875,7188300,0.012386715848007324,0.00986459801647698,1432.5644653320312,1446.6611206054688
2024-05-15,RELIANCE.NS,1405.86962890625,5046534,-0.002675751700564555,0.009867625148298727,1430.1548095703124,1445.2838159179687
2024-05-16,RELIANCE.NS,1414.8778076171875,14711774,0.006407549125266865,0.01002086098077299,1428.1496459960938,1444.682763671875
2024-05-17,RELIANCE.NS,1425.15185546875,10916476,0.007261438264315689,0.010204583457694798,1426.7289184570313,1444.1844506835937
2024-05-21,RELIANCE.NS,1425.57373046875,11176128,0.0002960210860205592,0.010144731435620183,1425.04140625,1443.0726806640625
2024-05-22,RELIANCE.NS,1449.9185791015625,10281604,0.01707722870623285,0.010812359583713464,1424.0884643554687,1442.14455078125
2024-05-23,RELIANCE.NS,1475.1319580078125,14608260,0.017389513638671694,0.011049492857991183,1425.4148986816406,1441.8636328125
2024-05-24,RELIANCE.NS,1469.37451171875,7094776,-0.003903004241625929,0.010980370482992071,1426.9075988769532,1441.4119750976563
2024-05-27,RELIANCE.NS,1455.4774169921875,6629010,-0.009457830264325784,0.011136951208276461,1427.2190490722655,1441.1603369140626
2024-05-28,RELIANCE.NS,1445.5010986328125,7820162,-0.006854327138920202,0.011188649885186497,1427.4001953125,1440.9538647460938
2024-05-29,RELIANCE.NS,1430.1895751953125,7383556,-0.010592536700236299,0.011252319368076297,1426.1966064453125,1440.2659545898437
2024-05-30,RELIANCE.NS,1414.3814697265625,13206858,-0.011053153891567913,0.011468830379405737,1424.10458984375,1440.1205297851564
2024-05-31,RELIANCE.NS,1419.8907470703125,31069832,0.003895184900022164,0.01152813089451523,1422.3103637695312,1440.0991870117186
2024-06-03,RELIANCE.NS,1499.228515625,21527942,0.055875967019565875,0.016278301217113003,1426.0985717773438,1441.9276538085937
2024-06-04,RELIANCE.NS,1387.0091552734375,36709098,-0.07485140469382034,0.02370661572625316,1424.9942443847656,1441.0898559570312
2024-06-05,RELIANCE.NS,1410.3116455078125,17464890,0.016800530945147996,0.023825767038135142,1425.9509155273438,1441.000517578125
2024-06-06,RELIANCE.NS,1421.0819091796875,17855722,0.007636796949228142,0.02373452743016303,1426.598614501953,1440.7593041992188
2024-06-07,RELIANCE.NS,1459.1500244140625,18558696,0.026788121774310447,0.024021117815980934,1430.3619995117188,1441.1360131835938
2024-06-10,RELIANCE.NS,1460.5894775390625,9251760,0.0009865011142895508,0.02397334374919142,1433.5372436523437,1441.4611059570314
2024-06-11,RELIANCE.NS,1445.9727783203125,11774902,-0.010007397316991185,0.024104659183573542,1436.2161682128906,1441.760888671875
2024-06-12,RELIANCE.NS,1452.5738525390625,10081742,0.00456514418370868,0.023993374850165814,1438.3627868652343,1441.1747265625
2024-06-13,RELIANCE.NS,1454.4847412109375,9181160,0.0013155191170037828,0.023970958694893834,1440.7935424804687,1440.7657543945313
2024-06-14,RELIANCE.NS,1466.6944580078125,8157998,0.008394530689067148,0.023994386139780586,1443.384375,1440.6223168945312
2024-06-18,RELIANCE.NS,1470.1439208984375,7196766,0.0023518619517457484,0.023963661004216888,1445.6339782714845,1440.5046923828124
2024-06-19,RELIANCE.NS,1447.9332275390625,8725874,-0.015107836072132064,0.02426133944051139,1446.751953125,1440.2475952148438
2024-06-20,RELIANCE.NS,1462.8726806640625,16113776,0.010317777671551509,0.02407285319660452,1447.399658203125,1440.4615112304687
2024-06-21,RELIANCE.NS,1443.515869140625,31170360,-0.01323205483244827,0.023930515155239414,1445.8188537597657,1440.3443798828125
2024-06-24,RELIANCE.NS,1430.88427734375,8878386,-0.008750573559260566,0.023988007745313494,1443.8943420410155,1439.46091796875
2024-06-25,RELIANCE.NS,1443.46630859375,7045386,0.008793185758779076,0.02399843143015057,1443.2937866210937,1439.272314453125
2024-06-26,RELIANCE.NS,1502.9013671875,22014882,0.0411752309284259,0.02563791258465351,1446.163800048828,1439.9562524414061
